,county,state,lat,lon
4065,Merrimack,New Hampshire,43.29747327472036,-71.68024087743505
4067,Atlantic,New Jersey,39.4777467604974,-74.66097803406451
4092,Chenango,New York,42.49351283775651,-75.61159392934597
4097,Essex,New York,44.117198016063774,-73.77260685742074
4099,Hamilton,New York,43.66113916570212,-74.49737805529678
4101,Jefferson,New York,44.05014624965288,-75.91801524299746
4102,Livingston,New York,42.72807066269832,-77.77549631299722
4120,Warren,New York,43.56097561609199,-73.84601831156755
4121,Washington,New York,43.31372181916944,-73.43075356920025
4130,Gaston,North Carolina,35.29439220161482,-81.18025444783508
4131,Guilford,North Carolina,36.07948046792894,-79.78890962282136
4133,Hoke,North Carolina,35.01754514213418,-79.23727035630256
4136,Lincoln,North Carolina,35.48567214947918,-81.22364965602827
4138,Moore,North Carolina,35.3106471107288,-79.48137901001782
4139,New Hanover,North Carolina,34.23272832728865,-77.88460776735873
4193,Adams,Pennsylvania,39.87150021488797,-77.2178776382755
4196,Berks,Pennsylvania,40.41630980653945,-75.92598591848889
4201,Lackawanna,Pennsylvania,41.43682713748572,-75.60920849683438
4211,York,Pennsylvania,39.919970368380426,-76.72653017510942
4221,Lee,South Carolina,34.163329834528234,-80.25449871604529
4290,Charles City,Virginia,37.35672316685466,-77.06222157395719
4302,Richmond city,Virginia,37.52944618003483,-77.47553887628142
4466,Tolland,Connecticut,41.85505162526351,-72.33649677461248
4467,Windham,Connecticut,41.8300291389128,-71.9874528550809
4482,Hernando,Florida,28.55363412605814,-82.42503269097463
4484,Indian River,Florida,27.69431703901576,-80.60624796685964
4485,Jackson,Florida,30.795430869135664,-85.21549752904701
4490,Martin,Florida,27.0775304773073,-80.43147985527695
4508,Bibb,Georgia,32.80650012125847,-83.69741063162101
4518,Early,Georgia,31.322844802462388,-84.90364522141647
4519,Effingham,Georgia,32.3672915090726,-81.34135620047324
4524,Glynn,Georgia,31.23090240357935,-81.54072006315383
4530,Laurens,Georgia,32.46365810294503,-82.92223684992163
4535,Peach,Georgia,32.56876261876707,-83.82689335347021
4538,Rockdale,Georgia,33.65425669694798,-84.02659943760816
4667,Calvert,Maryland,38.54337279128953,-76.56868220012272
4676,Wicomico,Maryland,38.37329864260253,-75.62078235023333
4683,Hampshire,Massachusetts,42.34016672131309,-72.66380202111728
4787,Cape May,New Jersey,39.14900556490926,-74.80020461874896
4799,Sussex,New Jersey,41.13925814244913,-74.69089734799309
4834,Schoharie,New York,42.58822525662599,-74.44211595002488
4842,Wayne,New York,43.15664567729124,-77.0293752124621
4931,Lancaster,Pennsylvania,40.04244154059075,-76.24773156549253
4932,Lebanon,Pennsylvania,40.36723485569937,-76.45771158823389
4942,Westmoreland,Pennsylvania,40.31073085493051,-79.46697061000856
4944,Abbeville,South Carolina,34.22255586603314,-82.45875420946479
4949,Dorchester,South Carolina,33.07949859548312,-80.40555789273033
4958,Saluda,South Carolina,34.00614123325266,-81.72690684706019
5232,New London,Connecticut,41.48662240570307,-72.10147457889745
5259,Monroe,Florida,25.50996694270424,-81.05411295297924
5277,Carroll,Georgia,33.58279281538689,-85.07977275388883
5279,Chatham,Georgia,32.00422166029372,-81.13283839463799
5286,Dawson,Georgia,34.444302174180585,-84.17062132680277
5289,Douglas,Georgia,33.70184874200337,-84.76796111830826
5300,Heard,Georgia,33.29704572856015,-85.12834047425785
5303,Lamar,Georgia,33.07654181404838,-84.13947532114375
5306,Lincoln,Georgia,33.79365020376385,-82.45115336851325
5308,Miller,Georgia,31.164009028206035,-84.73079544676756
5309,Monroe,Georgia,33.0139255251895,-83.91866271638582
5310,Muscogee,Georgia,32.51002946468144,-84.87705430407955
5312,Oconee,Georgia,33.83496760027578,-83.43710745730367
5315,Pickens,Georgia,34.46433832259509,-84.46556726156217
5317,Randolph,Georgia,31.7626564475146,-84.75420492383968
5320,Spalding,Georgia,33.26088450506576,-84.2841006062398
5321,Sumter,Georgia,32.039948055922,-84.19699249565123
5322,Terrell,Georgia,31.777010166663832,-84.43697568386382
5323,Tift,Georgia,31.457435249980463,-83.52660662022788
5325,Turner,Georgia,31.71638702256194,-83.62409818109086
5327,Worth,Georgia,31.551515077521174,-83.85089035977416
5482,Worcester,Maryland,38.21278429055522,-75.33399974755673
5607,Cheshire,New Hampshire,42.91935260326915,-72.25120887021812
5617,Cumberland,New Jersey,39.373850303260205,-75.11075729828052
5645,Columbia,New York,42.250089729143376,-73.63179810545807
5650,Fulton,New York,43.11384403058314,-74.42215823613238
5651,Genesee,New York,43.00093931671302,-78.19375953462682
5661,Niagara,New York,43.200069763831216,-78.74525183106793
5662,Oneida,New York,43.24174577393135,-75.43585142635816
5684,Carteret,North Carolina,34.83940202061163,-76.6728349606135
5687,Davidson,North Carolina,35.793362141442806,-80.21274787265087
5690,Franklin,North Carolina,36.082759449972095,-78.28570152152311
5702,Orange,North Carolina,36.06111458476605,-79.12066947402943
5703,Pasquotank,North Carolina,36.29548089765074,-76.28398889110949
5704,Pitt,North Carolina,35.5933036268666,-77.37449826812657
5705,Rowan,North Carolina,35.63948270567006,-80.52479023948881
5707,Stanly,North Carolina,35.311987634593294,-80.2509876549471
5782,Centre,Pennsylvania,40.91931964005848,-77.81995781707926
5786,Erie,Pennsylvania,41.99259860174867,-80.03281970402635
5787,Franklin,Pennsylvania,39.92741145700886,-77.72128388378565
5798,Potter,Pennsylvania,41.744935565883175,-77.89581586720492
5804,Aiken,South Carolina,33.5443304759596,-81.63475715028261
5807,Berkeley,South Carolina,33.19768570749659,-79.950997369777
5810,Clarendon,South Carolina,33.66579985112923,-80.2164209413245
5811,Darlington,South Carolina,34.33237083221914,-79.95768978523085
5814,Florence,South Carolina,34.024399783236426,-79.70280969701297
5821,Orangeburg,South Carolina,33.43900552121467,-80.80031077984657
5822,Pickens,South Carolina,34.88771601166808,-82.72520129289019
5826,Sumter,South Carolina,33.916206745242874,-80.38225837067372
5915,Accomack,Virginia,37.76343633742462,-75.63031843417828
5922,Gloucester,Virginia,37.41596734717217,-76.54343709141199
5929,Newport News city,Virginia,37.10517538541429,-76.51851716895449
5930,Norfolk city,Virginia,36.89452908302761,-76.25901521855593
5931,Portsmouth city,Virginia,36.84684630550781,-76.35404469474854
6154,Bay,Florida,30.26522180376587,-85.62025130192453
6164,Highlands,Florida,27.343327002421784,-81.34105478519827
6172,Marion,Florida,29.21020758657681,-82.05666011572372
6184,Putnam,Florida,29.608656049532584,-81.74431327242594
6189,St. Lucie,Florida,27.37726181638268,-80.47202896861228
6193,Baldwin,Georgia,33.069271580888994,-83.24955970914397
6227,Lumpkin,Georgia,34.572194467427195,-84.0026742026111
6409,Sagadahoc,Maine,43.959897891316025,-69.85461243596623
6415,Caroline,Maryland,38.87171962309026,-75.83155509541743
6423,Somerset,Maryland,38.12239505740943,-75.73390456766211
6425,Washington,Maryland,39.6036146108309,-77.81395542379586
6436,Nantucket,Massachusetts,41.282301497685445,-70.06245328521
6589,Strafford,New Hampshire,43.29696585220211,-71.02884254547901
